n_sources,gp,jax,jax-jit
1,5.390283006709069,1.4640442128293216,4.12679504416883
2,8.01864996459335,1.1603861250914633,4.728399781975895
4,13.588828289881349,2.284144621808082,5.410519595257938
8,24.744206338189542,4.47319845110178,7.39018468465656
16,46.64471959369257,9.191146888770163,11.642710929270834
32,91.26576254097745,18.469920232892036,19.646252697333694
64,178.59224448120221,37.81986698321998,29.722150534857064
